experiment,geometry,target,group,linear_r2,rf_r2,n_features
HP,base,Unlearning,density,-0.0168246410166079,-0.13425314977462222,4
HP,base,Unlearning,separability,-0.06562042607763416,-0.12824611851491655,4
HP,base,Unlearning,centrality,-0.04042161448784547,-0.09304266770655101,4
HP,base,Unlearning,isolation,-0.019303737919414178,-0.018477335823526085,4
HP,base,Unlearning,compactness,-0.019303737919414178,-0.018477335823526085,4
HP,base,Unlearning,consistency,-0.024766245427511623,-0.30213120984146197,4
HP,base,Steering,density,-18.412331478319704,-47.95285860748172,4
HP,base,Steering,separability,-48.79675717750485,-137.95429706736772,4
HP,base,Steering,centrality,-21.166904177754223,-30.713499760308586,4
HP,base,Steering,isolation,-14.439411965971019,-17.309378397653916,4
HP,base,Steering,compactness,-14.439411965971019,-17.309378397653916,4
HP,base,Steering,consistency,-15.90683096715622,-34.17137538611395,4
HP,base,Prompt,density,-0.9748399164954883,-2.0994741178849083,4
HP,base,Prompt,separability,-2.6357821571151914,-4.186974957006028,4
HP,base,Prompt,centrality,-1.2806643227408132,-1.6706321200420184,4
HP,base,Prompt,isolation,-1.0936811371613235,-1.2808592848459552,4
HP,base,Prompt,compactness,-1.0936811371613235,-1.2808592848459552,4
HP,base,Prompt,consistency,-1.035072622766058,-1.6255511247758734,4
HP,unlearned,Unlearning,density,-0.05561714955037296,-0.06080029742642692,4
HP,unlearned,Unlearning,separability,0.06300141387442926,0.018789951939069495,4
HP,unlearned,Unlearning,centrality,0.0032327167815920264,-0.11256687405096218,4
HP,unlearned,Unlearning,isolation,-0.019303737919414178,-0.018477335823526085,4
HP,unlearned,Unlearning,compactness,-0.019303737919414178,-0.018477335823526085,4
HP,unlearned,Unlearning,consistency,-0.028828875643593266,-0.19291555792665882,4
HP,unlearned,Steering,density,-17.37441412951552,-52.32536106136659,4
HP,unlearned,Steering,separability,-60.64774790457526,-91.6981092246228,4
HP,unlearned,Steering,centrality,-26.36697662112577,-35.38938278092011,4
HP,unlearned,Steering,isolation,-14.439411965971019,-17.309378397653916,4
HP,unlearned,Steering,compactness,-14.439411965971019,-17.309378397653916,4
HP,unlearned,Steering,consistency,-13.7238903260547,-37.12458258779298,4
HP,unlearned,Prompt,density,-1.1967914277742822,-1.8736949691003388,4
HP,unlearned,Prompt,separability,-2.9459848005936093,-5.272144417274102,4
HP,unlearned,Prompt,centrality,-1.5676390487160146,-1.4162870839860733,4
HP,unlearned,Prompt,isolation,-1.0936811371613235,-1.2808592848459552,4
HP,unlearned,Prompt,compactness,-1.0936811371613235,-1.2808592848459552,4
HP,unlearned,Prompt,consistency,-1.1040102325713776,-2.01617946759017,4
TOFU_grad_ascent,base,Unlearning,density,-0.010526315789473717,-0.010526315789473717,4
TOFU_grad_ascent,base,Unlearning,separability,-0.010526315789473717,0.1894736842105263,4
TOFU_grad_ascent,base,Unlearning,centrality,-0.010526315789473717,0.3894736842105263,4
TOFU_grad_ascent,base,Unlearning,isolation,-0.010526315789473717,-0.010526315789473717,4
TOFU_grad_ascent,base,Unlearning,compactness,-0.010526315789473717,-0.010526315789473717,4
TOFU_grad_ascent,base,Unlearning,consistency,-0.010526315789473717,-0.010526315789473717,4
TOFU_grad_ascent,base,Steering,density,-0.011492418196328735,-0.011492418196328735,4
TOFU_grad_ascent,base,Steering,separability,-0.011492418196328735,-0.011492418196328735,4
TOFU_grad_ascent,base,Steering,centrality,-0.011492418196328735,0.3885075818036713,4
TOFU_grad_ascent,base,Steering,isolation,-0.011492418196328735,-0.011492418196328735,4
TOFU_grad_ascent,base,Steering,compactness,-0.011492418196328735,-0.011492418196328735,4
TOFU_grad_ascent,base,Steering,consistency,-0.011492418196328735,-0.011492418196328735,4
TOFU_grad_ascent,base,Prompt,density,-0.010526315789473762,-0.010526315789473762,4
TOFU_grad_ascent,base,Prompt,separability,-0.010526315789473762,0.18947368421052624,4
TOFU_grad_ascent,base,Prompt,centrality,-0.010526315789473762,0.38947368421052625,4
TOFU_grad_ascent,base,Prompt,isolation,-0.010526315789473762,-0.010526315789473762,4
TOFU_grad_ascent,base,Prompt,compactness,-0.010526315789473762,-0.010526315789473762,4
TOFU_grad_ascent,base,Prompt,consistency,-0.010526315789473762,-0.010526315789473762,4
TOFU_grad_ascent,unlearned,Unlearning,density,-0.010526315789473717,0.1894736842105263,4
TOFU_grad_ascent,unlearned,Unlearning,separability,-0.010526315789473717,-0.010526315789473717,4
TOFU_grad_ascent,unlearned,Unlearning,centrality,-0.010526315789473717,-0.010526315789473717,4
TOFU_grad_ascent,unlearned,Unlearning,isolation,-0.010526315789473717,-0.010526315789473717,4
TOFU_grad_ascent,unlearned,Unlearning,compactness,-0.010526315789473717,-0.010526315789473717,4
TOFU_grad_ascent,unlearned,Unlearning,consistency,-0.010526315789473717,0.1894736842105263,4
TOFU_grad_ascent,unlearned,Steering,density,-0.011492418196328735,-0.011492418196328735,4
TOFU_grad_ascent,unlearned,Steering,separability,-0.011492418196328735,-0.011492418196328735,4
TOFU_grad_ascent,unlearned,Steering,centrality,-0.011492418196328735,-0.011492418196328735,4
TOFU_grad_ascent,unlearned,Steering,isolation,-0.011492418196328735,-0.011492418196328735,4
TOFU_grad_ascent,unlearned,Steering,compactness,-0.011492418196328735,-0.011492418196328735,4
TOFU_grad_ascent,unlearned,Steering,consistency,-0.011492418196328735,-0.011492418196328735,4
TOFU_grad_ascent,unlearned,Prompt,density,-0.010526315789473762,0.18947368421052624,4
TOFU_grad_ascent,unlearned,Prompt,separability,-0.010526315789473762,-0.010526315789473762,4
TOFU_grad_ascent,unlearned,Prompt,centrality,-0.010526315789473762,-0.010526315789473762,4
TOFU_grad_ascent,unlearned,Prompt,isolation,-0.010526315789473762,-0.010526315789473762,4
TOFU_grad_ascent,unlearned,Prompt,compactness,-0.010526315789473762,-0.010526315789473762,4
TOFU_grad_ascent,unlearned,Prompt,consistency,-0.010526315789473762,0.18947368421052624,4
TOFU_idk,base,Unlearning,density,-0.2732061567471274,-0.34249530616031454,4
TOFU_idk,base,Unlearning,separability,-0.20239931108740317,-0.2553320972717758,4
TOFU_idk,base,Unlearning,centrality,-0.3436089570065564,-0.5338746776024308,4
TOFU_idk,base,Unlearning,isolation,-0.21467711608004958,-0.21253086959523712,4
TOFU_idk,base,Unlearning,compactness,-0.21467711608004958,-0.21253086959523712,4
TOFU_idk,base,Unlearning,consistency,-0.22301886327584097,-0.35562865931039134,4
TOFU_idk,base,Steering,density,-0.3889970311730449,-0.7067900508920687,4
TOFU_idk,base,Steering,separability,-0.2796995302751462,-0.43448159279035303,4
TOFU_idk,base,Steering,centrality,-0.5276320835557764,-0.6003006501412103,4
TOFU_idk,base,Steering,isolation,-0.2929219649989753,-0.285798101703412,4
TOFU_idk,base,Steering,compactness,-0.2929219649989753,-0.285798101703412,4
TOFU_idk,base,Steering,consistency,-0.30174803216262513,-0.6279286475909311,4
TOFU_idk,base,Prompt,density,-0.07867188841105903,-0.11380754435036526,4
TOFU_idk,base,Prompt,separability,-0.08965826108188893,-0.10014251152128714,4
TOFU_idk,base,Prompt,centrality,-0.19892387725941654,-0.2034515595543326,4
TOFU_idk,base,Prompt,isolation,-0.09475690312314526,-0.09658285021093911,4
TOFU_idk,base,Prompt,compactness,-0.09475690312314526,-0.09658285021093911,4
TOFU_idk,base,Prompt,consistency,-0.11312067615582995,-0.2292506711961813,4
TOFU_idk,unlearned,Unlearning,density,-0.16775670320849273,-0.2339057991823251,4
TOFU_idk,unlearned,Unlearning,separability,-0.15590614535570893,-0.33943494564974863,4
TOFU_idk,unlearned,Unlearning,centrality,-0.35470198670535896,-0.23564444766887122,4
TOFU_idk,unlearned,Unlearning,isolation,-0.21467711608004958,-0.21253086959523712,4
TOFU_idk,unlearned,Unlearning,compactness,-0.21467711608004958,-0.21253086959523712,4
TOFU_idk,unlearned,Unlearning,consistency,-0.23411019009390915,-0.2940409462321981,4
TOFU_idk,unlearned,Steering,density,-0.32787734047093203,-0.43365861002372086,4
TOFU_idk,unlearned,Steering,separability,-0.20675766211228908,-0.377858398580574,4
TOFU_idk,unlearned,Steering,centrality,-0.3490288777361382,-0.41658811348314667,4
TOFU_idk,unlearned,Steering,isolation,-0.2929219649989753,-0.285798101703412,4
TOFU_idk,unlearned,Steering,compactness,-0.2929219649989753,-0.285798101703412,4
TOFU_idk,unlearned,Steering,consistency,-0.30016132543830054,-0.27410190662360817,4
TOFU_idk,unlearned,Prompt,density,-0.04629724619210811,-0.10941096980115847,4
TOFU_idk,unlearned,Prompt,separability,-0.14834501552461687,0.024381741194327365,4
TOFU_idk,unlearned,Prompt,centrality,-0.14011663167079905,-0.1604308763572906,4
TOFU_idk,unlearned,Prompt,isolation,-0.09475690312314526,-0.09658285021093911,4
TOFU_idk,unlearned,Prompt,compactness,-0.09475690312314526,-0.09658285021093911,4
TOFU_idk,unlearned,Prompt,consistency,-0.10746559332168537,-0.16853318509599444,4
