experiment,geometry,target,feature,shape,range,bin_means
HP,base,Unlearning,local_density_mean,Inverted-U,0.14,"[0.987, 0.855, 0.995, 0.992]"
HP,base,Unlearning,local_density_std,Complex,0.10266666666666668,"[0.952, 0.891, 0.992, 0.993]"
HP,base,Unlearning,local_density_max,Inverted-U,0.09733333333333338,"[0.947, 0.896, 0.993, 0.992]"
HP,base,Unlearning,local_density_min,U-shaped,0.07333333333333325,"[0.988, 0.92, 0.927, 0.993]"
HP,base,Unlearning,separability_mean,U-shaped,0.08266666666666667,"[1.0, 0.951, 0.917, 0.96]"
HP,base,Unlearning,separability_std,Inverted-U,0.1346666666666667,"[0.965, 1.0, 0.997, 0.865]"
HP,base,Unlearning,separability_max,U-shaped,0.14933333333333332,"[0.996, 0.997, 0.848, 0.987]"
HP,base,Unlearning,separability_min,Complex,0.1266666666666667,"[1.0, 0.873, 0.989, 0.965]"
HP,base,Unlearning,centrality_mean,U-shaped,0.07333333333333325,"[1.0, 0.956, 0.927, 0.945]"
HP,base,Unlearning,centrality_std,U-shaped,0.06266666666666665,"[0.96, 0.985, 0.923, 0.96]"
HP,base,Unlearning,centrality_min,U-shaped,0.08266666666666678,"[0.999, 0.916, 0.952, 0.961]"
HP,base,Unlearning,cross_layer_consistency_std,U-shaped,0.15919191919191922,"[0.99, 0.996, 0.836, 0.986]"
HP,base,Steering,local_density_mean,Inverted-U,0.13733333333333336,"[0.008, 0.145, 0.013, 0.012]"
HP,base,Steering,local_density_std,Complex,0.09200000000000001,"[0.047, 0.104, 0.016, 0.012]"
HP,base,Steering,local_density_max,U-shaped,0.09200000000000001,"[0.048, 0.104, 0.012, 0.015]"
HP,base,Steering,local_density_min,Inverted-U,0.07733333333333332,"[0.005, 0.077, 0.083, 0.013]"
HP,base,Steering,separability_mean,Inverted-U,0.07733333333333334,"[0.0, 0.044, 0.077, 0.057]"
HP,base,Steering,separability_std,U-shaped,0.132,"[0.041, 0.001, 0.003, 0.133]"
HP,base,Steering,separability_max,Inverted-U,0.1426666666666667,"[0.004, 0.003, 0.145, 0.027]"
HP,base,Steering,separability_min,Complex,0.11466666666666665,"[0.0, 0.115, 0.017, 0.047]"
HP,base,Steering,centrality_mean,Inverted-U,0.07066666666666668,"[0.001, 0.043, 0.072, 0.063]"
HP,base,Steering,centrality_std,Inverted-U,0.06000000000000001,"[0.051, 0.015, 0.075, 0.039]"
HP,base,Steering,centrality_max,Complex,0.07866666666666668,"[0.007, 0.049, 0.037, 0.085]"
HP,base,Steering,centrality_min,Complex,0.076,"[0.004, 0.08, 0.047, 0.048]"
HP,base,Steering,cross_layer_consistency_std,Inverted-U,0.15242424242424243,"[0.014, 0.007, 0.159, 0.018]"
HP,base,Prompt,local_density_mean,U-shaped,0.16,"[0.072, 0.2, 0.04, 0.048]"
HP,base,Prompt,local_density_std,Complex,0.128,"[0.088, 0.16, 0.08, 0.032]"
HP,base,Prompt,local_density_max,U-shaped,0.10400000000000001,"[0.12, 0.144, 0.04, 0.056]"
HP,base,Prompt,separability_std,U-shaped,0.168,"[0.104, 0.024, 0.04, 0.192]"
HP,base,Prompt,separability_max,Inverted-U,0.19999999999999998,"[0.024, 0.024, 0.224, 0.088]"
HP,base,Prompt,separability_min,Complex,0.16799999999999998,"[0.008, 0.176, 0.064, 0.112]"
HP,base,Prompt,centrality_mean,Inverted-U,0.136,"[0.008, 0.096, 0.144, 0.112]"
HP,base,Prompt,centrality_std,Complex,0.09600000000000002,"[0.144, 0.08, 0.088, 0.048]"
HP,base,Prompt,centrality_max,Complex,0.112,"[0.024, 0.136, 0.08, 0.12]"
HP,base,Prompt,centrality_min,Complex,0.12000000000000001,"[0.016, 0.136, 0.088, 0.12]"
HP,base,Prompt,cross_layer_consistency_mean,Inverted-U,0.064,"[0.064, 0.096, 0.128, 0.072]"
HP,base,Prompt,cross_layer_consistency_std,Inverted-U,0.13757575757575757,"[0.054, 0.053, 0.191, 0.082]"
HP,base,Prompt,cross_layer_consistency_max,Inverted-U,0.064,"[0.064, 0.096, 0.128, 0.072]"
HP,base,Prompt,cross_layer_consistency_min,Inverted-U,0.064,"[0.064, 0.096, 0.128, 0.072]"
HP,unlearned,Unlearning,local_density_mean,U-shaped,0.10933333333333328,"[0.987, 0.953, 0.889, 0.999]"
HP,unlearned,Unlearning,local_density_max,U-shaped,0.07066666666666654,"[0.987, 0.921, 0.928, 0.992]"
HP,unlearned,Unlearning,local_density_min,U-shaped,0.10933333333333328,"[0.987, 0.953, 0.889, 0.999]"
HP,unlearned,Unlearning,separability_mean,U-shaped,0.08533333333333337,"[0.996, 0.988, 0.911, 0.933]"
HP,unlearned,Unlearning,separability_std,Complex,0.12,"[0.997, 0.967, 0.987, 0.877]"
HP,unlearned,Unlearning,separability_max,U-shaped,0.09199999999999997,"[0.996, 0.993, 0.904, 0.935]"
HP,unlearned,Unlearning,separability_min,Complex,0.124,"[0.996, 0.872, 0.988, 0.972]"
HP,unlearned,Unlearning,centrality_mean,U-shaped,0.11733333333333329,"[0.993, 0.955, 0.881, 0.999]"
HP,unlearned,Unlearning,centrality_std,U-shaped,0.07066666666666666,"[0.964, 0.917, 0.959, 0.988]"
HP,unlearned,Unlearning,centrality_max,U-shaped,0.06666666666666665,"[0.964, 0.92, 0.957, 0.987]"
HP,unlearned,Unlearning,centrality_min,Complex,0.058666666666666756,"[0.989, 0.953, 0.955, 0.931]"
HP,unlearned,Unlearning,cross_layer_consistency_mean,U-shaped,0.07733333333333337,"[0.995, 0.917, 0.953, 0.964]"
HP,unlearned,Unlearning,cross_layer_consistency_max,U-shaped,0.07733333333333337,"[0.995, 0.917, 0.953, 0.964]"
HP,unlearned,Unlearning,cross_layer_consistency_min,U-shaped,0.07733333333333337,"[0.995, 0.917, 0.953, 0.964]"
HP,unlearned,Steering,local_density_mean,Inverted-U,0.11466666666666667,"[0.011, 0.051, 0.116, 0.001]"
HP,unlearned,Steering,local_density_max,Inverted-U,0.06933333333333334,"[0.011, 0.075, 0.08, 0.013]"
HP,unlearned,Steering,local_density_min,Inverted-U,0.11466666666666667,"[0.009, 0.049, 0.117, 0.003]"
HP,unlearned,Steering,separability_mean,Inverted-U,0.088,"[0.003, 0.017, 0.091, 0.068]"
HP,unlearned,Steering,separability_std,Complex,0.12266666666666666,"[0.003, 0.037, 0.013, 0.125]"
HP,unlearned,Steering,separability_max,Inverted-U,0.09999999999999999,"[0.003, 0.005, 0.103, 0.068]"
HP,unlearned,Steering,separability_min,Complex,0.12399999999999999,"[0.003, 0.127, 0.019, 0.031]"
HP,unlearned,Steering,centrality_mean,Inverted-U,0.11866666666666667,"[0.013, 0.041, 0.121, 0.003]"
HP,unlearned,Steering,centrality_std,Complex,0.06399999999999999,"[0.045, 0.079, 0.04, 0.015]"
HP,unlearned,Steering,centrality_max,Inverted-U,0.06133333333333333,"[0.036, 0.077, 0.049, 0.016]"
HP,unlearned,Steering,cross_layer_consistency_mean,Complex,0.06666666666666665,"[0.013, 0.08, 0.04, 0.046]"
HP,unlearned,Steering,cross_layer_consistency_max,Complex,0.06666666666666665,"[0.013, 0.08, 0.04, 0.046]"
HP,unlearned,Steering,cross_layer_consistency_min,Complex,0.06666666666666665,"[0.013, 0.08, 0.04, 0.046]"
HP,unlearned,Prompt,local_density_mean,Inverted-U,0.14400000000000002,"[0.088, 0.08, 0.168, 0.024]"
HP,unlearned,Prompt,local_density_max,Inverted-U,0.10399999999999998,"[0.072, 0.088, 0.152, 0.048]"
HP,unlearned,Prompt,local_density_min,Inverted-U,0.128,"[0.08, 0.088, 0.16, 0.032]"
HP,unlearned,Prompt,separability_mean,Inverted-U,0.12000000000000001,"[0.016, 0.096, 0.136, 0.112]"
HP,unlearned,Prompt,separability_max,Inverted-U,0.14400000000000002,"[0.016, 0.064, 0.16, 0.12]"
HP,unlearned,Prompt,separability_min,Inverted-U,0.184,"[0.016, 0.2, 0.088, 0.056]"
HP,unlearned,Prompt,centrality_mean,Inverted-U,0.192,"[0.048, 0.088, 0.208, 0.016]"
HP,unlearned,Prompt,centrality_std,Complex,0.088,"[0.088, 0.136, 0.088, 0.048]"
HP,unlearned,Prompt,cross_layer_consistency_mean,Inverted-U,0.096,"[0.048, 0.144, 0.096, 0.07]"
HP,unlearned,Prompt,cross_layer_consistency_max,Inverted-U,0.096,"[0.048, 0.144, 0.096, 0.07]"
HP,unlearned,Prompt,cross_layer_consistency_min,Inverted-U,0.096,"[0.048, 0.144, 0.096, 0.07]"
TOFU_idk,base,Unlearning,local_density_mean,Complex,0.1133333333333334,"[0.743, 0.792, 0.752, 0.856]"
TOFU_idk,base,Unlearning,local_density_max,Complex,0.09466666666666668,"[0.752, 0.773, 0.771, 0.847]"
TOFU_idk,base,Unlearning,local_density_min,U-shaped,0.09999999999999998,"[0.76, 0.779, 0.752, 0.852]"
TOFU_idk,base,Unlearning,separability_mean,U-shaped,0.15466666666666673,"[0.775, 0.735, 0.744, 0.889]"
TOFU_idk,base,Unlearning,separability_std,U-shaped,0.08533333333333337,"[0.789, 0.788, 0.74, 0.825]"
TOFU_idk,base,Unlearning,separability_max,Complex,0.11466666666666658,"[0.771, 0.737, 0.783, 0.852]"
TOFU_idk,base,Unlearning,separability_min,Complex,0.1333333333333332,"[0.76, 0.719, 0.812, 0.852]"
TOFU_idk,base,Unlearning,centrality_mean,Inverted-U,0.15466666666666673,"[0.7, 0.797, 0.855, 0.791]"
TOFU_idk,base,Unlearning,centrality_min,Complex,0.07199999999999984,"[0.751, 0.823, 0.779, 0.791]"
TOFU_idk,base,Unlearning,cross_layer_consistency_mean,Complex,0.05441025641025643,"[0.76, 0.794, 0.775, 0.815]"
TOFU_idk,base,Unlearning,cross_layer_consistency_max,Complex,0.05441025641025643,"[0.76, 0.794, 0.775, 0.815]"
TOFU_idk,base,Unlearning,cross_layer_consistency_min,Complex,0.05441025641025643,"[0.76, 0.794, 0.775, 0.815]"
TOFU_idk,base,Steering,local_density_mean,Complex,0.12000000000000005,"[0.275, 0.191, 0.22, 0.155]"
TOFU_idk,base,Steering,local_density_max,Complex,0.08133333333333331,"[0.26, 0.197, 0.204, 0.179]"
TOFU_idk,base,Steering,separability_mean,Complex,0.14800000000000002,"[0.237, 0.265, 0.22, 0.117]"
TOFU_idk,base,Steering,centrality_mean,U-shaped,0.14266666666666664,"[0.279, 0.221, 0.136, 0.204]"
TOFU_idk,base,Steering,centrality_max,Complex,0.08266666666666667,"[0.247, 0.164, 0.225, 0.204]"
TOFU_idk,base,Steering,centrality_min,Complex,0.0586666666666667,"[0.215, 0.173, 0.22, 0.232]"
TOFU_idk,base,Prompt,local_density_mean,Complex,0.14400000000000002,"[0.624, 0.536, 0.568, 0.48]"
TOFU_idk,base,Prompt,local_density_std,Complex,0.11199999999999993,"[0.592, 0.6, 0.528, 0.488]"
TOFU_idk,base,Prompt,local_density_max,Complex,0.09599999999999997,"[0.584, 0.6, 0.52, 0.504]"
TOFU_idk,base,Prompt,local_density_min,Complex,0.11199999999999993,"[0.584, 0.568, 0.584, 0.472]"
TOFU_idk,base,Prompt,separability_mean,Inverted-U,0.22399999999999998,"[0.52, 0.64, 0.632, 0.416]"
TOFU_idk,base,Prompt,separability_std,Inverted-U,0.08799999999999997,"[0.56, 0.568, 0.584, 0.496]"
TOFU_idk,base,Prompt,separability_max,Inverted-U,0.14399999999999996,"[0.56, 0.6, 0.592, 0.456]"
TOFU_idk,base,Prompt,separability_min,Inverted-U,0.17600000000000005,"[0.552, 0.624, 0.584, 0.448]"
TOFU_idk,base,Prompt,centrality_mean,U-shaped,0.10400000000000009,"[0.608, 0.504, 0.544, 0.552]"
TOFU_idk,base,Prompt,centrality_std,Complex,0.05600000000000005,"[0.512, 0.568, 0.56, 0.568]"
TOFU_idk,base,Prompt,centrality_max,U-shaped,0.08000000000000007,"[0.552, 0.552, 0.512, 0.592]"
TOFU_idk,base,Prompt,cross_layer_consistency_mean,Complex,0.10369230769230775,"[0.608, 0.542, 0.552, 0.504]"
TOFU_idk,base,Prompt,cross_layer_consistency_max,Complex,0.10369230769230775,"[0.608, 0.542, 0.552, 0.504]"
TOFU_idk,base,Prompt,cross_layer_consistency_min,Complex,0.10369230769230775,"[0.608, 0.542, 0.552, 0.504]"
TOFU_idk,unlearned,Unlearning,local_density_mean,Complex,0.12533333333333352,"[0.731, 0.811, 0.745, 0.856]"
TOFU_idk,unlearned,Unlearning,local_density_max,Complex,0.1346666666666667,"[0.723, 0.788, 0.775, 0.857]"
TOFU_idk,unlearned,Unlearning,local_density_min,U-shaped,0.1133333333333334,"[0.76, 0.779, 0.745, 0.859]"
TOFU_idk,unlearned,Unlearning,separability_mean,Complex,0.19066666666666665,"[0.767, 0.692, 0.801, 0.883]"
TOFU_idk,unlearned,Unlearning,separability_std,U-shaped,0.07466666666666666,"[0.799, 0.771, 0.749, 0.824]"
TOFU_idk,unlearned,Unlearning,separability_max,Complex,0.12399999999999989,"[0.745, 0.736, 0.801, 0.86]"
TOFU_idk,unlearned,Unlearning,separability_min,Complex,0.1413333333333333,"[0.751, 0.733, 0.784, 0.875]"
TOFU_idk,unlearned,Unlearning,centrality_mean,U-shaped,0.07333333333333325,"[0.792, 0.829, 0.756, 0.765]"
TOFU_idk,unlearned,Unlearning,centrality_max,Inverted-U,0.10400000000000009,"[0.715, 0.819, 0.805, 0.804]"
TOFU_idk,unlearned,Unlearning,cross_layer_consistency_mean,U-shaped,0.07733333333333325,"[0.763, 0.804, 0.749, 0.827]"
TOFU_idk,unlearned,Unlearning,cross_layer_consistency_max,U-shaped,0.07733333333333325,"[0.763, 0.804, 0.749, 0.827]"
TOFU_idk,unlearned,Unlearning,cross_layer_consistency_min,U-shaped,0.07733333333333325,"[0.763, 0.804, 0.749, 0.827]"
TOFU_idk,unlearned,Steering,local_density_mean,Complex,0.12799999999999997,"[0.289, 0.18, 0.209, 0.161]"
TOFU_idk,unlearned,Steering,local_density_std,Complex,0.09066666666666665,"[0.227, 0.263, 0.179, 0.172]"
TOFU_idk,unlearned,Steering,local_density_max,Complex,0.11866666666666664,"[0.289, 0.189, 0.191, 0.171]"
TOFU_idk,unlearned,Steering,separability_mean,Complex,0.17200000000000001,"[0.245, 0.292, 0.183, 0.12]"
TOFU_idk,unlearned,Steering,separability_std,Inverted-U,0.07066666666666666,"[0.223, 0.176, 0.247, 0.195]"
TOFU_idk,unlearned,Steering,centrality_max,U-shaped,0.10133333333333333,"[0.276, 0.175, 0.179, 0.211]"
TOFU_idk,unlearned,Steering,cross_layer_consistency_mean,Inverted-U,0.10666666666666663,"[0.252, 0.185, 0.255, 0.148]"
TOFU_idk,unlearned,Steering,cross_layer_consistency_max,Inverted-U,0.10666666666666663,"[0.252, 0.185, 0.255, 0.148]"
TOFU_idk,unlearned,Steering,cross_layer_consistency_min,Inverted-U,0.10666666666666663,"[0.252, 0.185, 0.255, 0.148]"
TOFU_idk,unlearned,Prompt,local_density_mean,Inverted-U,0.15200000000000002,"[0.6, 0.528, 0.616, 0.464]"
TOFU_idk,unlearned,Prompt,local_density_std,Inverted-U,0.08799999999999997,"[0.544, 0.584, 0.584, 0.496]"
TOFU_idk,unlearned,Prompt,local_density_min,Inverted-U,0.12000000000000005,"[0.584, 0.56, 0.592, 0.472]"
TOFU_idk,unlearned,Prompt,separability_mean,Inverted-U,0.23999999999999988,"[0.512, 0.656, 0.624, 0.416]"
TOFU_idk,unlearned,Prompt,separability_std,Inverted-U,0.09600000000000009,"[0.568, 0.552, 0.592, 0.496]"
TOFU_idk,unlearned,Prompt,separability_max,Inverted-U,0.15200000000000002,"[0.56, 0.6, 0.6, 0.448]"
TOFU_idk,unlearned,Prompt,separability_min,Inverted-U,0.184,"[0.56, 0.584, 0.624, 0.44]"
TOFU_idk,unlearned,Prompt,centrality_mean,Complex,0.06400000000000006,"[0.528, 0.552, 0.536, 0.592]"
TOFU_idk,unlearned,Prompt,centrality_std,Complex,0.09599999999999997,"[0.6, 0.544, 0.56, 0.504]"
TOFU_idk,unlearned,Prompt,centrality_max,U-shaped,0.07199999999999995,"[0.6, 0.544, 0.528, 0.536]"
