experiment,geometry,target,cv_r2,rules
HP,unlearned,Unlearning,-0.0456537841572914,"|--- separability_std <= 0.01
|   |--- separability_mean <= 1.01
|   |   |--- local_density_max <= 1.51
|   |   |   |--- value: [0.98]
|   |   |--- local_density_max >  1.51
|   |   |   |--- value: [1.00]
|   |--- separability_mean >  1.01
|   |   |--- value: [0.93]
|--- separability_std >  0.01
|   |--- value: [0.81]
"
TOFU_grad_diff,base,Unlearning,-0.03825947893115824,"|--- separability_min <= 0.98
|   |--- value: [0.51]
|--- separability_min >  0.98
|   |--- centrality_min <= 0.70
|   |   |--- local_density_std <= 0.09
|   |   |   |--- value: [0.73]
|   |   |--- local_density_std >  0.09
|   |   |   |--- value: [0.95]
|   |--- centrality_min >  0.70
|   |   |--- local_density_mean <= 1.51
|   |   |   |--- value: [0.96]
|   |   |--- local_density_mean >  1.51
|   |   |   |--- value: [1.00]
"
TOFU_grad_diff,base,Steering,0.044575608381937346,"|--- separability_max <= 0.99
|   |--- value: [0.46]
|--- separability_max >  0.99
|   |--- centrality_min <= 0.70
|   |   |--- local_density_std <= 0.09
|   |   |   |--- value: [0.23]
|   |   |--- local_density_std >  0.09
|   |   |   |--- value: [0.06]
|   |--- centrality_min >  0.70
|   |   |--- cross_layer_consistency_max <= 0.59
|   |   |   |--- value: [0.02]
|   |   |--- cross_layer_consistency_max >  0.59
|   |   |   |--- value: [0.01]
"
TOFU_grad_diff,base,Prompt,0.14295553872647215,"|--- separability_min <= 0.99
|   |--- centrality_min <= 0.60
|   |   |--- value: [0.74]
|   |--- centrality_min >  0.60
|   |   |--- centrality_mean <= 0.97
|   |   |   |--- value: [0.47]
|   |   |--- centrality_mean >  0.97
|   |   |   |--- value: [0.28]
|--- separability_min >  0.99
|   |--- cross_layer_consistency_std <= 0.00
|   |   |--- value: [0.05]
|   |--- cross_layer_consistency_std >  0.00
|   |   |--- separability_min <= 0.99
|   |   |   |--- value: [0.08]
|   |   |--- separability_min >  0.99
|   |   |   |--- value: [0.20]
"
TOFU_grad_diff,unlearned,Unlearning,0.013725066720055912,"|--- separability_mean <= 0.98
|   |--- value: [0.50]
|--- separability_mean >  0.98
|   |--- separability_max <= 1.00
|   |   |--- separability_mean <= 0.99
|   |   |   |--- value: [0.96]
|   |   |--- separability_mean >  0.99
|   |   |   |--- value: [0.74]
|   |--- separability_max >  1.00
|   |   |--- separability_mean <= 0.99
|   |   |   |--- value: [0.91]
|   |   |--- separability_mean >  0.99
|   |   |   |--- value: [1.00]
"
TOFU_grad_diff,unlearned,Steering,0.22197201149899062,"|--- separability_mean <= 0.98
|   |--- value: [0.50]
|--- separability_mean >  0.98
|   |--- separability_min <= 0.99
|   |   |--- separability_max <= 0.99
|   |   |   |--- value: [0.03]
|   |   |--- separability_max >  0.99
|   |   |   |--- value: [0.18]
|   |--- separability_min >  0.99
|   |   |--- local_density_std <= 0.09
|   |   |   |--- value: [0.03]
|   |   |--- local_density_std >  0.09
|   |   |   |--- value: [0.00]
"
TOFU_grad_diff,unlearned,Prompt,0.07671361961966845,"|--- separability_min <= 0.99
|   |--- separability_mean <= 0.98
|   |   |--- value: [0.76]
|   |--- separability_mean >  0.98
|   |   |--- centrality_min <= 0.66
|   |   |   |--- value: [0.19]
|   |   |--- centrality_min >  0.66
|   |   |   |--- value: [0.48]
|--- separability_min >  0.99
|   |--- separability_mean <= 1.00
|   |   |--- local_density_mean <= 1.42
|   |   |   |--- value: [0.12]
|   |   |--- local_density_mean >  1.42
|   |   |   |--- value: [0.28]
|   |--- separability_mean >  1.00
|   |   |--- centrality_min <= 0.68
|   |   |   |--- value: [0.10]
|   |   |--- centrality_min >  0.68
|   |   |   |--- value: [0.02]
"
TOFU_grad_ascent,base,Unlearning,0.1894736842105263,"|--- centrality_min <= 0.80
|   |--- value: [1.00]
|--- centrality_min >  0.80
|   |--- value: [0.92]
"
TOFU_grad_ascent,base,Steering,0.18850758180367128,"|--- centrality_min <= 0.80
|   |--- value: [0.00]
|--- centrality_min >  0.80
|   |--- value: [0.08]
"
TOFU_grad_ascent,base,Prompt,0.18947368421052624,"|--- centrality_min <= 0.80
|   |--- value: [0.00]
|--- centrality_min >  0.80
|   |--- value: [0.10]
"
TOFU_grad_ascent,base,Embedding,0.016110860030867126,"|--- separability_min <= 0.99
|   |--- local_density_min <= 1.30
|   |   |--- value: [0.64]
|   |--- local_density_min >  1.30
|   |   |--- cross_layer_consistency_min <= 0.62
|   |   |   |--- value: [0.90]
|   |   |--- cross_layer_consistency_min >  0.62
|   |   |   |--- value: [0.76]
|--- separability_min >  0.99
|   |--- separability_max <= 1.00
|   |   |--- value: [0.40]
|   |--- separability_max >  1.00
|   |   |--- value: [0.68]
"
TOFU_grad_ascent,unlearned,Unlearning,-0.010526315789473717,"|--- local_density_mean <= 1.51
|   |--- value: [0.92]
|--- local_density_mean >  1.51
|   |--- value: [1.00]
"
TOFU_grad_ascent,unlearned,Steering,-0.011492418196328735,"|--- local_density_mean <= 1.51
|   |--- value: [0.08]
|--- local_density_mean >  1.51
|   |--- local_density_min <= 2.03
|   |   |--- value: [0.00]
|   |--- local_density_min >  2.03
|   |   |--- value: [0.00]
"
TOFU_grad_ascent,unlearned,Prompt,-0.010526315789473762,"|--- local_density_mean <= 1.51
|   |--- value: [0.10]
|--- local_density_mean >  1.51
|   |--- value: [0.00]
"
TOFU_KL,base,Unlearning,0.5894736842105263,"|--- centrality_max <= 1.47
|   |--- value: [1.00]
|--- centrality_max >  1.47
|   |--- value: [0.91]
"
TOFU_KL,base,Steering,0.5894736842105261,"|--- centrality_max <= 1.47
|   |--- value: [0.00]
|--- centrality_max >  1.47
|   |--- value: [0.09]
"
TOFU_KL,base,Prompt,0.5894736842105261,"|--- centrality_max <= 1.47
|   |--- value: [0.00]
|--- centrality_max >  1.47
|   |--- value: [0.10]
"
TOFU_KL,unlearned,Unlearning,-0.010526315789473717,"|--- local_density_mean <= 1.48
|   |--- value: [0.91]
|--- local_density_mean >  1.48
|   |--- value: [1.00]
"
TOFU_KL,unlearned,Steering,-0.010526315789473762,"|--- local_density_mean <= 1.48
|   |--- value: [0.09]
|--- local_density_mean >  1.48
|   |--- value: [0.00]
"
TOFU_KL,unlearned,Prompt,-0.010526315789473762,"|--- local_density_mean <= 1.48
|   |--- value: [0.10]
|--- local_density_mean >  1.48
|   |--- value: [0.00]
"
TOFU_idk,base,Prompt,-0.12947501876707665,"|--- separability_mean <= 0.99
|   |--- cross_layer_consistency_std <= 0.00
|   |   |--- separability_mean <= 0.99
|   |   |   |--- value: [0.55]
|   |   |--- separability_mean >  0.99
|   |   |   |--- value: [0.67]
|   |--- cross_layer_consistency_std >  0.00
|   |   |--- value: [0.48]
|--- separability_mean >  0.99
|   |--- centrality_max <= 1.38
|   |   |--- value: [0.36]
|   |--- centrality_max >  1.38
|   |   |--- value: [0.49]
"
TOFU_idk,unlearned,Prompt,-0.008450839706263346,"|--- separability_mean <= 0.99
|   |--- separability_min <= 0.98
|   |   |--- value: [0.46]
|   |--- separability_min >  0.98
|   |   |--- cross_layer_consistency_min <= 0.64
|   |   |   |--- value: [0.71]
|   |   |--- cross_layer_consistency_min >  0.64
|   |   |   |--- value: [0.55]
|--- separability_mean >  0.99
|   |--- local_density_std <= 0.19
|   |   |--- value: [0.50]
|   |--- local_density_std >  0.19
|   |   |--- value: [0.36]
"
